flammability,Fair trails,Success count,winning probability,Number of simulations,Simulations per maze,Comments
0,2670,2442,0.914606742,500,10,Dies only when fire placed at critical junctions
0.1,2460,1632,0.663414634,500,10,
0.2,2630,1258,0.478326996,500,10,
0.3,2620,922,0.351908397,500,10,
0.4,2590,669,0.258301158,500,10,
0.5,2590,432,0.166795367,500,10,
0.6,2460,311,0.126422764,500,10,
0.7,2460,224,0.091056911,500,10,
0.8,2760,200,0.072463768,500,10,
0.9,2660,139,0.052255639,500,10,
1,2570,102,0.039688716,500,10,
